Designator,Mid X,Mid Y,Rotation,Layer
J1,34.95,-89.5,0.0,top
J2,44.1,-38.55,90.0,top
J3,22.9,-62.4,270.0,bottom
J4,27.75,-33.15,180.0,bottom
J5,21.05,-20.06,0.0,top
J6,34.75,-22.6005,180.0,bottom
